0,2017년 01월,2017년 02월,2017년 03월,2017년 04월,2017년 05월,2017년 06월,2017년 07월,2017년 08월,2017년 09월,2017년 10월,2017년 11월,2017년 12월,2018년 01월,2018년 02월,2018년 03월,2018년 04월,2018년 05월,2018년 06월,2018년 07월,2018년 08월,2018년 09월,2018년 10월,2018년 11월,2018년 12월,2019년 01월,2019년 02월,2019년 03월,2019년 04월,2019년 05월,2019년 06월,2019년 07월,2019년 08월,2019년 09월,2019년 10월,2019년 11월,2019년 12월,2020년 01월,2020년 02월,2020년 03월,2020년 04월,2020년 05월,2020년 06월
C-11,2112.9,2216.1,2252.0,2272.1,2223.7,2272.3,2053.7,2252.5,2296.4,2111.9,2179.4,2103.3,2051.6,2030.3,2172.3,2264.2,2210.1,2235.0,2165.4,2081.5,2177.6,2199.7,2209.0,2124.2,1991.3,1925.4,2037.1,2073.3,2082.2,2041.3,2014.1,2009.2,1973.0,2052.9,2045.1,1999.2,1927.8,1869.4,1771.1,1858.0,1882.2,1949.5
C-12,292.6,333.5,345.7,357.8,347.3,364.2,353.9,367.1,379.8,356.0,382.8,364.4,348.5,358.6,384.0,401.1,398.1,415.3,427.0,417.1,441.3,441.1,432.3,424.0,412.5,398.2,429.4,449.1,445.4,437.7,444.6,436.3,435.0,438.9,455.4,432.4,401.0,408.0,411.7,437.6,457.9,480.7
C-13,3785.7,3392.3,3193.9,3820.3,3342.7,3329.0,4279.9,4408.0,4465.1,4299.9,4281.6,3958.9,3966.0,3799.4,4363.2,4351.5,4296.4,4384.2,4360.2,4358.8,4228.8,4442.9,4397.4,4277.5,4159.1,3990.5,4203.2,4284.2,4259.5,4204.6,4141.9,4175.6,4105.7,4251.5,4173.7,4046.2,3919.5,3823.4,3572.1,3738.3,3748.3,3904.6
C-14,1584.9,1694.6,1707.1,1736.7,1687.5,1734.8,1687.2,1681.7,1747.2,1601.2,1745.5,1636.1,1611.0,1576.5,1679.4,1673.7,1650.0,1636.0,1636.3,1610.5,1588.2,1679.7,1674.9,1621.3,1561.5,1487.7,1590.8,1630.1,1601.0,1566.6,1571.2,1555.4,1520.1,1582.5,1552.5,1512.3,1442.2,1436.9,1401.6,1455.1,1473.8,1539.1
C-15,2624.6,2664.0,2825.4,2860.2,2805.8,2845.3,2815.4,2823.1,2887.2,2700.8,2856.2,2763.6,2681.2,2556.2,2715.4,2778.4,2765.0,2829.6,2793.4,2767.0,2757.9,2814.9,2838.2,2797.4,2676.1,2660.5,2829.7,2905.7,3119.7,2914.5,2810.9,2810.7,2685.8,2766.1,2555.8,2734.0,2597.9,2590.3,2546.2,2635.2,2608.0,2671.1
C-16,2543.5,2695.3,2723.8,2736.0,2401.7,2549.6,2567.8,2633.4,2660.4,2566.8,2773.8,2592.4,2319.9,2265.2,2659.2,2724.7,2709.6,2708.6,2720.8,2681.8,2624.6,2753.1,2736.0,2697.0,2626.9,2512.1,2644.2,2660.2,2653.8,2616.6,2606.9,2589.2,2510.9,2648.9,2655.6,2580.7,2463.1,2469.0,2354.5,2465.2,2484.7,2586.7
C-17,2500.8,2643.2,2694.1,2661.8,2693.6,2671.1,2579.9,2623.9,2717.9,2591.4,2713.5,2577.9,2549.6,2564.5,2664.3,2681.5,2694.6,2687.7,2636.3,2622.1,2663.3,2713.6,2720.0,2650.8,2598.0,2526.2,2660.3,2720.6,2704.1,2659.6,2611.1,2620.7,2603.9,2701.2,2703.8,2632.0,2513.9,2474.4,2460.7,2570.4,2576.6,2646.5
C-18,2012.4,2180.4,2309.6,2186.6,2166.6,2187.0,2168.9,2217.0,2331.3,2177.9,2330.4,2187.2,2092.8,2110.6,2195.8,2225.6,2180.7,2164.1,2186.3,2171.4,2177.5,2203.6,2239.8,2149.7,1915.5,1889.9,2000.8,2079.0,2040.4,2010.1,1970.7,2005.2,1976.1,2066.9,2050.6,1997.1,1876.3,1836.2,1756.4,1896.0,1927.4,1980.5
C-19,1297.4,1363.7,1369.9,1419.3,1393.8,1413.8,1411.3,1436.1,1502.0,1366.7,1483.6,1370.8,1313.5,1347.5,1423.6,1466.6,1466.9,1469.0,1474.1,1463.9,1451.2,1480.1,1516.6,1482.1,1282.9,1245.9,1316.1,,1372.2,1350.4,1367.1,1396.0,1362.6,1398.7,1427.3,1355.3,1264.9,1219.4,1171.0,1303.4,1399.2,1453.2
C-20,1841.9,1868.5,1945.7,1825.7,1865.1,1857.1,1785.6,1894.6,1941.7,1835.7,1835.1,1743.9,1728.4,1573.4,1816.9,1770.6,1755.5,1784.3,1814.8,1804.1,1817.3,1864.4,1858.8,1822.2,1670.3,1626.5,1673.0,1713.1,1708.8,1682.4,1689.7,1681.7,1623.1,1715.7,1695.5,1644.7,1563.0,1510.6,1462.7,1372.8,1214.9,1297.4
C-21,334.0,357.9,365.2,381.8,376.3,377.9,379.1,367.1,352.9,372.5,377.3,343.1,316.8,323.9,374.1,388.0,398.4,406.5,401.8,390.6,393.5,398.3,399.7,388.6,316.4,308.5,322.5,330.2,326.7,320.9,328.8,327.5,320.5,341.4,341.2,323.5,303.4,297.6,284.0,345.1,386.5,389.8
C-22,427.4,445.1,529.2,565.6,586.4,584.5,527.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D-01,854.6,900.9,915.0,966.1,936.7,953.4,933.1,934.9,995.0,907.5,968.1,798.7,867.8,921.2,951.9,964.0,958.1,945.3,946.9,923.7,944.4,945.9,938.0,916.7,888.9,881.7,914.3,942.0,936.2,918.4,918.4,930.7,911.0,925.9,945.9,896.1,856.1,824.1,809.7,857.9,882.5,900.7
D-02,,,,,,,,,,,,797.8,794.6,868.9,904.3,933.3,937.4,935.2,926.8,904.7,944.1,958.2,949.7,924.0,880.2,883.2,928.2,960.7,948.3,922.4,910.2,930.0,919.3,947.3,953.5,896.1,893.5,875.1,799.6,875.5,951.2,896.6
D-03,1328.1,1432.0,1413.5,1460.3,1431.0,1440.6,1389.8,1391.8,1443.7,1314.5,1420.8,1327.0,1296.7,1272.8,1366.3,1377.7,1361.6,1347.5,1347.8,1289.0,1300.5,1384.9,1400.9,1347.2,1321.7,1255.8,1351.9,1381.6,1354.7,1318.7,1317.4,1312.6,1277.7,1340.2,1337.4,1304.0,1222.6,1224.6,1188.4,1222.3,1224.5,1271.3
D-04,1769.0,1889.7,1899.5,1962.4,1926.1,1961.2,1936.6,2018.8,2171.9,2010.5,2013.2,1912.4,1852.6,1856.4,1947.3,1968.1,1952.5,1957.1,1955.4,1967.8,1956.5,1995.7,1929.0,1915.5,1784.7,1721.0,1808.1,1851.3,1857.5,1846.1,1826.2,1856.5,1810.3,1870.8,1859.7,1780.1,1678.8,1647.2,1601.1,1673.4,1694.3,1775.8
