지점번호,name,name_addr,name_lat,name_lng,start_point,start_addr,start_lat,start_lng,end_point,end_addr,end_lat,end_lng
B-23,철산교,서울 금천구 가산동,37.4753532527387,126.87843696043,철산대교사거리,경기 광명시 철산동,37.4746048941329,126.876199757215,수출의다리,서울 금천구 가산동,37.4767609944339,126.884182372553
B-24,금천교,서울 금천구 가산동,37.465286726865,126.88520384569,금천교사거리,서울 금천구 독산동,37.4647771296843,126.88374419344,독산역,서울 금천구 가산동 717,37.4659755677766,126.889475639948
B-25,금하로,경기 광명시 소하동 186-15,37.4484336396353,126.877472466943,신촌사거리,경기 광명시 소하동,37.4506799912548,126.889480065845,시흥대교,서울 금천구 시흥동,37.4525122843471,126.89500621224
B-26,오정로,경기 부천시 오정동 68-2,37.5336241621004,126.791541243983,오쇠삼거리,경기 부천시 고강동,37.5421303351948,126.809029128789,외발산사거리,서울 강서구 외발산동,37.5518443152616,126.816622799005
B-27,화곡로,서울 강서구 화곡동 1106-1,37.5543763937238,126.851432710628,화곡로부천시계, , , ,화곡로입구,서울 강서구 화곡동 1106-1,37.5543763937238,126.851432710628
B-28,경인고속국도,인천 부평구 삼산동,37.5240054762198,126.757747975161,부천IC,경기 부천시 내동,37.5241911881222,126.777014975207,신월IC,서울 양천구 신월동,37.5255512468868,126.834864591611
B-29,경인로,경기 부천시 심곡본동 558,37.483464926375,126.778456659915,유한공고,서울 구로구 항동 1-7,37.48798330046932,126.82325461351519,오정초등학교,경기 부천시 원종동 247,37.5271749040005,126.807524161186
B-30,신정로,서울 양천구 신정동 743-15,37.5083426810648,126.840534991566,신정로부천시계, , , ,서부트럭터미널,서울 양천구 신정동 1315,37.50878956984014,126.83986221048815
B-31,김포대로,경기 김포시 장기동 1-4,37.6612291440127,126.664718449551,고촌IC,경기 김포시 고촌읍 전호리,37.5872169451332,126.792438041391,개화교,서울 강서구 개화동,37.5834283789084,126.798213494551
B-32,올림픽대로,서울 강남구 압구정동 372-2,37.5342373020898,127.028013785582,행주대교남단,서울 강서구 개화동 143-8,37.5927190742572,126.804443214988,방화대교남단,서울 강서구 방화동 53-11,37.5831080400941,126.819031211393
B-33,통일로,서울 은평구 진관동 80-25,37.6371704250724,126.91803174955,통일로고양시계, , , ,구파발사거리,서울 은평구 진관동,37.6390219406828,126.91673356368
B-34,서오릉로,경기 고양시 덕양구 용두동 361-336,37.6277719504529,126.888067419384,서오릉로고양시계, , , ,구산사거리,서울 은평구 갈현동 536-2,37.6137870012158,126.911628689718
B-35,수색로,서울 은평구 증산동 241,37.5793131999285,126.900221712357,수색로고양시계, , , ,수색교,서울 마포구 상암동,37.5863896811126,126.886358651369
